Company,Year Founded,Total Raised,HQ Country,Last Financing Date,Last Financing Deal Type,Last Financing Size,Revenue
Phytoponics,2016,1.01,United Kingdom,23-Apr-2020,Seed Round,0.5,
Pycno,2014,0.12,United Kingdom,,Accelerator/Incubator,,
SafetyNet Technologies,2011,1.1,United Kingdom,21-Jul-2020,Accelerator/Incubator,,
Better Origin,2015,3.51,United Kingdom,06-Feb-2021,Seed Round,2.54,
Albotherm,2020,0.23,United Kingdom,12-Apr-2021,Seed Round,0.23,
AirSmat,2019,0.08,United Kingdom,16-NOV-2020,Accelerator/Incubator,,
Fieldwork Robotics,2016,1.45,United Kingdom,19-Mar-2021,Early Stage VC,0.72,
Glas Data,2018,0.47,United Kingdom,23-Jul-2020,Seed Round,0.28,
MiAlgae,2016,1.47,United Kingdom,08-Jan-2020,Seed Round,0.99,
MOA Technology,2017,13.32,United Kingdom,25-NOV-2020,Early Stage VC,4.98,
Root Wave,2012,7.87,United Kingdom,20-Jul-2020,Accelerator/Incubator,,
Tropic Biosciences,2016,34.48,United Kingdom,23-Mar-2020,Early Stage VC,23.2,
Agxio,2018,1,United Kingdom,02-Jun-2020,Early Stage VC,0.75,
Freyda,2018,1.1,United Kingdom,16-Dec-2020,Seed Round,0.63,
Future Anthem,2018,0.86,United Kingdom,27-Sep-2020,Early Stage VC,0.86,
Gendius,2013,2.12,United Kingdom,05-0ct-2020,Later Stage VC,0.71,
Gensyn,2020,0.01,United Kingdom,15-Sep-2020,Accelerator/Incubator,0.01,
Geospatial Insight,2012,5.19,United Kingdom,15-Jun-2020,Later Stage VC,0.5,
Globacap,2017,12.11,United Kingdom,14-Jan-2021,Corporate,6.2,
Greyparrot,2018,3.55,United Kingdom,13-NOV-2020,Seed Round,2.75,
Neuro Al,2019,1.14,United Kingdom,09-Feb-2021,Early Stage VC,0.38,
Neurolabs,2018,1.02,United Kingdom,22-Jul-2020,Seed Round,0.97,
Neuronostics,2018,1.58,United Kingdom,27-Mar-2021,Seed Round,0.48,
Nimbla,2016,0.91,United Kingdom,26-Mar-2021,Corporate,,
Novai,2020,0.5,United Kingdom,,Equity Crowdfunding,0.15,
Novoic,2019,2.07,United Kingdom,09-Mar-2020,Seed Round,2.07,
Would You Rather Be,2019,0.5,United Kingdom,23-Mar-2020,Grant,0.08,
YellowDog,2015,5.45,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.5,
Yoti,2014,51.37,United Kingdom,30-Jun-2020,Later Stage VC,12,
Your.MD,2013,35.64,United Kingdom,30-Sep-2020,Later Stage VC,23.15,
Youtility,2015,5.73,United Kingdom,24-Feb-2020,Early Stage VC,4.4,
Graphcore,2016,603.1,United Kingdom,13-Apr-2021,Secondary Tr...,7,
6 Bit Education,2019,0.17,United Kingdom,06-Jan-2021,Accelerator/Incubator,,10.05
7Bridges,2014,2.65,United Kingdom,24-Jun-2020,Seed Round,2.65,
Altered,2018,1.9,United Kingdom,10-Nov-2020,Seed Round,0.9,
Altroleum,2019,0.07,United Kingdom,19-Mar-2020,Early Stage VC,,
AMPLYFI,2015,8.44,United Kingdom,06-Mar-2020,Early Stage VC,4.71,
Analytics Intelligence,2017,,United Kingdom,01-Jan-2020,Seed Round,,
Antiverse,2017,2.77,United Kingdom,15-Mar-2021,Seed Round,1.4,
AppyWay,2013,31.96,United Kingdom,08-Sep-2020,Later Stage VC,20,
Aqua Digital Rising,2020,2.5,United Kingdom,29-NOV-2020,Equity Crowdfunding,1.06,
Arbolus,2017,6.97,United Kingdom,24-Mar-2021,Early Stage VC,4.38,
Arloid Automation,2017,1.18,United Kingdom,01-Apr-2020,Angel,0.41,
Arthronica,2018,0.6,United Kingdom,06-Jul-2020,Seed Round,0.6,
Audiotelligence,2017,9.6,United Kingdom,02-Mar-2020,Early Stage VC,6.5,
Augmize,2019,0.83,United Kingdom,20-Apr-2021,Early Stage VC,0.75,
Auris (Educational Software),2015,1.47,United Kingdom,30-NOV-2020,Later Stage VC,0.37,
Auro (Educational and Training Ser...,2016,1.08,United Kingdom,09-Jan-2020,Early Stage VC,0.63,
Autologyx,2014,6.36,United Kingdom,25-Sep-2020,Later Stage VC,1.3,
Aveni (Business/Productivity Softw...,2018,2.01,United Kingdom,04-May-2021,Early Stage VC,1.36,
Axioma Europe,2018,0.22,United Kingdom,11-May-2021,Early Stage VC,,
Azur (Insurance Brokers),2015,19.21,United Kingdom,20-Mar-2020,Early Stage VC,5.32,7.81
Babylon Health,2013,665.24,United Kingdom,03-Jun-2021,PIPE,163.08,
BECOCO.,2016,0.38,United Kingdom,03-Mar-2020,Accelerator/Incubator,,
Bidvine,2014,9.72,United Kingdom,16-Mar-2020,Later Stage VC,2.98,
Bkwai,2019,0.66,United Kingdom,29-Sep-2020,Seed Round,0.58,
BlackDice,2019,0.45,United Kingdom,11-Nov-2020,Grant,0.1,
BlackSwan Technologies,2014,21.72,United Kingdom,13-0ct-2020,Later Stage VC,21.72,
Blippar,2011,6.79,United Kingdom,23-Mar-2021,Later Stage VC,3.59,
Blueprint (Business/Productivity So...,2019,0.98,United Kingdom,20-Apr-2020,Seed Round,0.98,
Bodyswaps,2016,0.57,United Kingdom,23-Sep-2020,Seed Round,0.47,
Bold Health,2018,0.32,United Kingdom,01-Mar-2020,Grant,0.02,
Boltzbit,2020,0.3,United Kingdom,08-Apr-2020,Seed Round,0.3,
Bot-Hive,2019,0.6,United Kingdom,29-Apr-2020,Early Stage VC,0.45,
BotsAndUs,2015,2,United Kingdom,06-Jul-2020,Seed Round,2,
Bud,2015,17.94,United Kingdom,01-Jul-2020,Later Stage VC,,
Calipsa,2016,2.9,United Kingdom,26-NOV-2020,Secondary Tr...,,
Cambridge Quantum Computing,2014,109.16,United Kingdom,09-Dec-2020,Later Stage VC,37.9,
Caristo Diagnostics,2017,10.24,United Kingdom,26-NOV-2020,Early Stage VC,8.2,
Century (Educational Software),2013,17.18,United Kingdom,13-May-2021,Later Stage VC,7.49,
ChatableApps,2018,,United Kingdom,06-Mar-2020,Seed Round,,
Chattermill,2015,7.44,United Kingdom,24-Feb-2020,Seed Round,6.52,
Check An Invoice,2018,1.5,United Kingdom,25-Jan-2020,Seed Round,0.9,
Chip (Financial Software),2015,21.79,United Kingdom,14-Sep-2020,Early Stage VC,10.7,
Circulor,2017,,United Kingdom,08-Mar-2021,Seed Round,,
Cleo.,2015,34.79,United Kingdom,27-May-2020,Mezzanine,0.8,
Cloud Cycle,2019,1.69,United Kingdom,01-Jul-2020,Seed Round,1.45,
Coadjute,2018,0.75,United Kingdom,10-Nov-2020,Seed Round,,
Coastr,2018,2,United Kingdom,21-May-2021,Seed Round,2,
Codec,2014,6.72,United Kingdom,15-Jan-2020,Seed Round,2,
Cognism,2016,31.38,United Kingdom,16-Mar-2021,Later Stage VC,9.13,7.1
Collectability,2019,,United Kingdom,08-NOV-2020,Early Stage VC,,
CoMind (Application Software),2017,10.83,United Kingdom,04-Jan-2021,Early Stage VC,7.5,
Compare Ethics,2018,0.44,United Kingdom,26-Oct-2020,Seed Round,0.44,
Concirrus,2011,32.2,United Kingdom,07-Jul-2020,Later Stage VC,4.8,
Concured,2015,4.79,United Kingdom,10-May-2021,Later Stage VC,0.85,
Condense Reality,2019,0.35,United Kingdom,08-0ct-2020,Grant,0.5,
Contingent,2019,1.94,United Kingdom,01-Dec-2020,Seed Round,1.94,
Continuum Industries,2018,1.75,United Kingdom,09-Mar-2020,Seed Round,1.5,
Coriolis Technologies,2017,0.25,United Kingdom,23-Sep-2020,Early Stage VC,,
CRUX (Business/Productivity Softwa...,2017,1.2,United Kingdom,20-0ct-2020,Seed Round,1.2,
Current Health,2014,52.59,United Kingdom,22-Apr-2021,Later Stage VC,31.42,
CyberSmart (Network Management...,2017,7.35,United Kingdom,13-Jul-2020,Early Stage VC,5.5,
Cybertonica,2015,5.46,United Kingdom,08-Jan-2020,Later Stage VC,2.05,
Cydar,2012,16.34,United Kingdom,28-Sep-2020,Later Stage VC,5.1,
CyStellar,2017,1.06,United Kingdom,20-Jan-2021,Early Stage VC,,0.08
Cyted,2019,8.7,United Kingdom,01-Feb-2020,Early Stage VC,8.7,
Data3 (Business/Productivity Softw...,2017,0.2,United Kingdom,29-May-2020,Early Stage VC,,
Datamaran,2014,10.88,United Kingdom,07-Jan-2020,Later Stage VC,2.85,
Datatecnics,2011,,United Kingdom,13-Jan-2020,Accelerator/Incubator,,
Decibel (Media and Information Ser...,2013,44.2,United Kingdom,04-Mar-2021,Merger/Acqui...,115.23,
Deep Grey Research,2019,1.06,United Kingdom,09-0ct-2020,Early Stage VC,1.06,
Deep Render,2017,1.58,United Kingdom,07-May-2020,Seed Round,1.58,
Denver Technologies,2017,4.9,United Kingdom,02-Jun-2020,Seed Round,4.88,
Deployed,2018,0.15,United Kingdom,15-Jul-2020,Early Stage VC,,
Distributed (IT Consulting and Outs...,2017,10.7,United Kingdom,05-May-2021,Early Stage VC,5,
Edgetic,2017,1.17,United Kingdom,01-May-2020,Grant,0.15,
Edgify,2014,49.09,United Kingdom,12-0ct-2020,Seed Round,38.82,
Eigen Technologies,2015,45.49,United Kingdom,13-Mar-2020,Later Stage VC,32.48,
Elemendar,2017,0.74,United Kingdom,10-Dec-2020,Seed Round,0.7,
Emitwise,2019,4.71,United Kingdom,24-May-2021,Seed Round,4.71,
Envelop Risk,2016,7.79,United Kingdom,,Secondary Tr...,,
EnVsion,2019,0.04,United Kingdom,03-Aug-2020,Seed Round,0.04,
Epipole,2011,2.47,United Kingdom,24-Jun-2020,Later Stage VC,1.54,
Equiwatt,2017,0.36,United Kingdom,28-Sep-2020,Early Stage VC,0.3,
Etcembly,2019,1.77,United Kingdom,18-Feb-2021,Early Stage VC,1.7,
Evolve Dynamics,2014,1,United Kingdom,27-Feb-2020,Seed Round,1,
Exscientia,2012,276.65,United Kingdom,27-Apr-2021,Later Stage VC,161.4,
ExSeed Health,2017,2.72,United Kingdom,05-Jun-2020,Early Stage VC,0.79,
Extend Robotics,2019,,United Kingdom,01-Apr-2020,Seed Round,,
Feebris,2017,1.1,United Kingdom,26-May-2020,Seed Round,,
Fieldontrack,2019,,United Kingdom,15-Jun-2020,Accelerator/Incubator,,
Flare Bright,2015,0.25,United Kingdom,01-Apr-2020,Seed Round,0.25,
Floww,2016,4.42,United Kingdom,01-Dec-2020,Seed Round,1.54,
Fregnan,2015,0.8,United Kingdom,01-May-2020,Early Stage VC,0.5,
gliff.ai,2016,0.38,United Kingdom,28-Oct-2020,Early Stage VC,0.38,
Grakn Labs,2015,5.74,United Kingdom,12-Feb-2020,Seed Round,2.4,
Grid Edge,2016,3.41,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.2,
Grip (Communication Software),2014,15.9,United Kingdom,18-Feb-2021,Later Stage VC,9.46,
Growth Intelligence,2011,5.6,United Kingdom,01-Jan-2020,Later Stage VC,,
Gyana,2015,4.95,United Kingdom,27-Feb-2020,Early Stage VC,3,
Habito,2014,66.13,United Kingdom,08-Feb-2021,Debt - General,,
Hazy,2017,9.2,United Kingdom,01-Mar-2020,Accelerator/Incubator,,
HealthyHealth,2017,12.86,United Kingdom,03-Jun-2021,Early Stage VC,7.38,
HelloDone,2016,3,United Kingdom,02-Apr-2020,Seed Round,0.7,
Hoxton Analytics,2014,2.91,United Kingdom,06-Jun-2020,Later Stage VC,0.97,
Hubx (Financial Software),2015,9.76,United Kingdom,08-Feb-2021,Later Stage VC,4.2,
Humanising Autonomy,2017,5.3,United Kingdom,23-Jan-2020,Early Stage VC,,
Humanloop,2020,,United Kingdom,25-Aug-2020,Accelerator/Incubator,0.11,
Humley,2014,1.3,United Kingdom,,Later Stage VC,,
Humn.ai,2017,10.31,United Kingdom,24-Dec-2020,Early Stage VC,3.24,
lamYiam,2016,4.23,United Kingdom,02-Dec-2020,Accelerator/Incubator,,
¡KVA,2017,1.67,United Kingdom,16-Mar-2021,Early Stage VC,1.5,
iLoF,2019,2.5,United Kingdom,01-Feb-2021,Grant,0.07,
IntelliBonds,2018,1,United Kingdom,12-Mar-2021,Early Stage VC,1,
Intelligent Lilli,2014,10.19,United Kingdom,18-Mar-2021,Seed Round,4.67,
IntelliSense.io,2014,6.27,United Kingdom,,Later Stage VC,,
Intrro,2019,0.38,United Kingdom,26-Feb-2020,Seed Round,0.38,
lothic,2017,5.44,United Kingdom,02-Jun-2020,Early Stage VC,3.74,
¡Size,2016,5.82,United Kingdom,06-May-2021,Later Stage VC,4.5,
Journee(Other Services (B2C Non-...,2018,0.13,United Kingdom,02-Apr-2020,Early Stage VC,0.13,
Juno Bio,2018,0.19,United Kingdom,01-Sep-2020,Early Stage VC,,
Juro,2016,7.39,United Kingdom,07-Jan-2020,Early Stage VC,5.22,
Kaizen Languages,2017,1.18,United Kingdom,14-Sep-2020,Seed Round,,
Kamma,2015,2.15,United Kingdom,30-NOV-2020,Early Stage VC,1.6,
Karakuri (Other Hardware),2018,13.45,United Kingdom,02-Dec-2020,Early Stage VC,6.3,
Katana (Financial Software),2019,1.72,United Kingdom,22-Jan-2020,Early Stage VC,1.72,0.04
Keakie,2016,2.03,United Kingdom,28-Jun-2020,Seed Round,2.25,
Kuano,2020,0.15,United Kingdom,25-Feb-2021,Early Stage VC,,
LabGenius,2012,22.84,United Kingdom,14-0ct-2020,Later Stage VC,11.66,
LabMinds,2009,15.83,United Kingdom,02-Jun-2020,Later Stage VC,2.28,
Layer,2020,,United Kingdom,01-Jan-2020,Early Stage VC,,
LGN Innovations,2018,2.97,United Kingdom,23-Mar-2021,Seed Round,1.44,
Liopa,2013,2.22,United Kingdom,30-Jul-2020,Later Stage VC,,
Logically (Media and Information ...,2017,10.83,United Kingdom,Expected      30-Sep-2021,Early Stage VC,,
Loveshark,2018,2.78,United Kingdom,01-Sep-2020,Seed Round,2.56,
Luffy Al,2018,0.2,United Kingdom,15-Jun-2020,Seed Round,0.2,
Machine Labs,2018,2,United Kingdom,IO-Jul-2020,Seed Round,2,
Machine Medicine Technologies,2017,1.75,United Kingdom,25-May-2020,Early Stage VC,0.5,
MachineMax,2018,8.13,United Kingdom,16-Jan-2020,Early Stage VC,4.95,
Manchester Imaging,2014,1.65,United Kingdom,07-Apr-2020,Later Stage VC,0.19,
Massive Analytic,2010,3.5,United Kingdom,29-May-2020,Grant,0.5,2.4
McKenzie Intelligence Services,2011,1.46,United Kingdom,27-Feb-2020,Later Stage VC,0.46,
Memrise,2010,14.86,United Kingdom,01-Oct-2020,Later Stage VC,,
Mind Foundry,2015,18.73,United Kingdom,09-NOV-2020,Early Stage VC,10.4,
Muddy Machines,2020,0.57,United Kingdom,,Seed Round,,
Multiply (Financial Software),2016,4.96,United Kingdom,01-Jul-2020,Early Stage VC,1.5,
My Voice Al,2017,3.29,United Kingdom,02-0ct-2020,Seed Round,2.08,
"Nava (Other Restaurants, Hotels a...",2015,0.59,United Kingdom,17-Apr-2020,Early Stage VC,0.08,
Neurolytic Healthcare,2018,3.12,United Kingdom,15-Feb-2021,Accelerator/Incubator,0.04,
Nova Money,2017,0.23,United Kingdom,04-0ct-2020,Equity Crowdfunding,0.24,
NumberEight,2016,2.35,United Kingdom,08-Jul-2020,Seed Round,1.8,
Obrizum Group,2015,4.93,United Kingdom,01-Feb-2020,Later Stage VC,1,
Octeract,2017,2.58,United Kingdom,24-Aug-2020,Early Stage VC,1.99,
Odin Vision,2018,0.39,United Kingdom,10-Sep-2020,Grant,1,
Onfido,2010,210.96,United Kingdom,,Secondary Tr...,,
Opteran Technologies,2019,2.14,United Kingdom,24-NOV-2020,Seed Round,1.91,
Oseven,2015,2.76,United Kingdom,07-Apr-2020,Early Stage VC,0.79,
Papercup,2017,10.17,United Kingdom,10-Dec-2020,Early Stage VC,8,
Partnerize,2010,70.58,United Kingdom,09-Jan-2020,Later Stage VC,38.13,
Pathfinder,2014,1.31,United Kingdom,22-Jul-2020,Seed Round,0.45,
Patientsource,2012,1.39,United Kingdom,01-Jan-2021,Equity Crowdfunding,1.5,
Peak (Business/Productivity Softw...,2014,33.17,United Kingdom,17-Feb-2021,Later Stage VC,15.29,
PhishAR,2020,,United Kingdom,12-Aug-2020,Accelerator/Incubator,,
Photocert,2016,0.49,United Kingdom,11-May-2020,Early Stage VC,0.22,
Pimloc,2016,1.52,United Kingdom,19-0ct-2020,Seed Round,1.4,
Planera,2017,0.53,United Kingdom,31-Jan-2020,Grant,0.01,
Plotinus,2013,1.87,United Kingdom,10-Aug-2020,Early Stage VC,0.65,
Plum Fintech,2016,15.7,United Kingdom,21-Jul-2020,Early Stage VC,7.86,
Pointr,2014,5.44,United Kingdom,26-Aug-2020,Later Stage VC,,1.95
PostEra,2019,1.92,United Kingdom,19-May-2021,Grant,0.07,
Predina,2016,0.95,United Kingdom,31-Jan-2020,Accelerator/Incubator,0.09,
Previse,2016,16.93,United Kingdom,16-Apr-2020,Early Stage VC,8.26,
Privitar,2014,123.35,United Kingdom,,Secondary Tr...,,
Prodsight,2017,0.66,United Kingdom,29-Jan-2020,Seed Round,0.41,
Propetly,2018,,United Kingdom,01-May-2020,Early Stage VC,,
Proportunity,2016,20.93,United Kingdom,30-Apr-2021,Early Stage VC,8.1,
Psykhe,2019,1.33,United Kingdom,24-Sep-2020,Seed Round,1.33,
Pureclarity,2014,1.62,United Kingdom,16-NOV-2020,Later Stage VC,0.38,
Pynk,2018,1.63,United Kingdom,,Equity Crowdfunding,,
Qflow,2018,1.14,United Kingdom,,Early Stage VC,,
Qlaims,2017,3.06,United Kingdom,17-May-2021,Early Stage VC,0.65,
Quant Co,2017,0.12,United Kingdom,27-Jan-2020,Accelerator/Incubator,0.11,
Quantexa,2016,71.09,United Kingdom,22-Jul-2020,Later Stage VC,51.2,
Questionardo,2020,,United Kingdom,01-Mar-2020,Seed Round,,
Quix Analytics,2020,2.48,United Kingdom,12-May-2021,Seed Round,2.27,
Qureight,2018,0.52,United Kingdom,14-Sep-2020,Seed Round,0.52,
Ravelin,2014,30.43,United Kingdom,15-Jul-2020,Later Stage VC,16.4,
Reach Industries,2019,,United Kingdom,15-Jul-2020,Seed Round,,
Recruitment Smart,2015,1.42,United Kingdom,,Later Stage VC,2,
Recydeye,2019,1.2,United Kingdom,15-Dec-2020,Seed Round,1.2,
Reef Finance,2020,17.37,United Kingdom,,Early Stage VC,42.52,
Regvolution,2018,0.32,United Kingdom,08-Apr-2020,Early Stage VC,0.32,
RevLifter,2017,6.77,United Kingdom,25-NOV-2020,Early Stage VC,4.16,
Rezatec,2012,10.03,United Kingdom,06-Feb-2020,Later Stage VC,5,
Ripjar,2012,57.47,United Kingdom,16-Sep-2020,Later Stage VC,28,
RoboK,2017,1.5,United Kingdom,07-Jan-2020,Early Stage VC,,
Roborace,2015,81.24,United Kingdom,01-Jan-2020,Later Stage VC,72.7,
RotaGeek,2009,14.1,United Kingdom,06-May-2020,Later Stage VC,6.05,
SafeToNet,2013,29.67,United Kingdom,,Later Stage VC,0.23,
Satis.AI,2020,4.64,United Kingdom,,Seed Round,,
SciLeads,2015,0.53,United Kingdom,01-May-2020,Seed Round,0.53,
SeeQuestor,2014,13.82,United Kingdom,01-Feb-2021,Later Stage VC,2.59,
Seldon,2011,10.29,United Kingdom,17-NOV-2020,Later Stage VC,7.1,
Sense Street,2018,0.17,United Kingdom,02-Apr-2020,Early Stage VC,0.08,
Senseye (Business/Productivity So...,2014,8.91,United Kingdom,08-0ct-2020,Later Stage VC,,
SERG Technologies,2018,0.45,United Kingdom,01-Jun-2020,Grant,0.05,
Shepherd (Business/Productivity S...,2015,4.61,United Kingdom,22-Apr-2020,Later Stage VC,1.11,
SIME Clinical Al,2014,2.05,United Kingdom,12-May-2020,Later Stage VC,0.83,
Skin Analytics,2012,9.99,United Kingdom,08-Sep-2020,Later Stage VC,3.94,
SLAMcore,2016,9.09,United Kingdom,17-Jun-2020,Early Stage VC,4.4,
Smartify,2015,1.28,United Kingdom,09-NOV-2020,Seed Round,1,
Snoop,2019,8.22,United Kingdom,,Merger/Acqui...,,
Sofant Technologies,2011,6.9,United Kingdom,,Later Stage VC,,
Sonantic,2018,2.02,United Kingdom,,Early Stage VC,,
Sonrai Analytics,2018,0.72,United Kingdom,04-Mar-2020,Seed Round,0.72,
Sparkbox,2018,0.15,United Kingdom,01-Apr-2020,Seed Round,,
Sprout.ai,2018,11.13,United Kingdom,05-May-2021,Early Stage VC,7.79,
Streetbees,2014,49.84,United Kingdom,10-Dec-2020,Secondary Tr...,5.03,
Sumsub,2015,5.68,United Kingdom,08-Sep-2020,Early Stage VC,4.55,
Sunlight.io,2018,4.1,United Kingdom,08-Dec-2020,Early Stage VC,4.1,
Survey54,2017,0.41,United Kingdom,29-Mar-2021,Early Stage VC,0.13,
Sylvera,2020,4.13,United Kingdom,13-May-2021,Seed Round,4.13,
Symbiotica Al,2019,0.1,United Kingdom,01-Jan-2020,Early Stage VC,0.1,
Synthace,2011,41.24,United Kingdom,31-Mar-2021,Later Stage VC,,0.65
Synthesized,2017,2.66,United Kingdom,10-Mar-2020,Early Stage VC,2.53,
TAINA Technology,2016,4.74,United Kingdom,24-Jun-2020,Early Stage VC,1.34,
Talking Medicines,2013,2.09,United Kingdom,04-NOV-2020,Later Stage VC,1.1,
TalkLife,2011,2.81,United Kingdom,25-NOV-2020,Later Stage VC,1.32,
Techspert.io,2015,4.99,United Kingdom,24-Feb-2020,Early Stage VC,3.76,
Temporall,2017,1,United Kingdom,15-Apr-2020,Seed Round,1,
Tended,2017,1.38,United Kingdom,14-Feb-2020,Seed Round,1.38,
The Robot Exchange,2018,0.69,United Kingdom,17-May-2021,Early Stage VC,0.5,
Therapify,2018,0.52,United Kingdom,12-NOV-2020,Seed Round,0.5,
ThingTrax,2015,0.46,United Kingdom,25-Jun-2020,Seed Round,0.22,
ThinkSono,2016,1.61,United Kingdom,04-Jun-2020,Seed Round,0.69,
Thought Machine,2014,115.28,United Kingdom,28-JUI-2020,Later Stage VC,97,
ThoughtRiver,2011,11.74,United Kingdom,07-Sep-2020,Later Stage VC,6.82,
Tickitto,2017,0.63,United Kingdom,11-Jun-2020,Seed Round,0.54,
Tractable,2014,45.63,United Kingdom,21-Feb-2020,Later Stage VC,19.2,
Transformative Al,2016,2.25,United Kingdom,27-Jul-2020,Seed Round,1.7,
Trint,2014,12.68,United Kingdom,01-Dec-2020,Later Stage VC,5.23,
TrueStock,2018,0.25,United Kingdom,23-Jun-2020,Early Stage VC,0.25,
Ultromics,2017,20.81,United Kingdom,15-Jun-2020,Early Stage VC,8.06,
Unitary,2019,1.35,United Kingdom,10-Feb-2020,Seed Round,1.35,
